,date,title,press,contents,link
0,5일 전,서강대 '개교 첫 교수회의 기념 뮤럴제막식' 진행,뉴시스,기사내용 요약 비전과 근간 계승 뜻 모아 허서우 인턴 기자 = 서강대는 개교 63주년을 맞아 '개교 첫... 이번 뮤럴은 서강대 초기교수인 미첼(John L. Mitchell) 교수의 뜻으로 제작됐다. John L. Mitchell은 1960년 4월 초...,http://www.newsis.com/view/?id=NISX20230420_0002274160&cID=10201&pID=10200
1,4일 전,"국립부경대-서강대, '반도체 특성화 대학' 유치 협력",BBS NEWS,"국립부경대와 서강대가 '반도체 특성화 대학' 유치를 함께 추진합니다. 장영수 부경대 총장과 심종혁 서강대 총장은 최근 서강대 본관 3층 접견실에서 업무 협약을 체결하고, 컨소시엄을 구성해 '반도체 특성화 대학...",https://news.bbsi.co.kr/news/articleView.html?idxno=3108010
2,21시간 전,노동개혁에서 민주주의까지...'인도네시아의 힘',교수신문,한국과 인도네시아 수교 50주년을 기념하며 서강대 동아연구소는 네 차례에 걸친 인도네시아 정치·외교... 김정현 씨(서강대 동남아시아학 석사과정)가 정리했다. 정리=김정현 서강대 동남아시아학 석사과정...,http://www.kyosu.net/news/articleView.html?idxno=103915
3,2일 전,"부경대·서강대, 반도체 특성화대 공동유치 협약",파이낸셜뉴스,"국립부경대학교와 서강대학교가 반도체 특성화 대학 유치를 공동 추진한다. 장영수 부경대 총장과 심종혁 서강대 총장은 지난 20일 오후 서강대 본관에서 반도체 인재양성 확대를 위한 업무 협약을 체결하고, 컨소시엄을...",http://www.fnnews.com/news/202304231850319845
4,5일 전,"서강대, 부동산학 석·박사 개설…신입생 모집",이투데이,"이투데이=박민웅 기자 | 서강대학교가 올해 9월 일반대학원 부동산학 석사과정, 박사과정, 석·박사 통합과정을 개설해 신입생을 모집한다고 20일 밝혔다. 개설되는 부동산학 석·박사과정은 부동산에 관한 기본적인...",https://www.etoday.co.kr/news/view/2242315
5,4일 전,"서강대 출신 '국내 5위 부호' 스마일게이트 권혁빈 배우자 ""10조 중 절반 달라...",아시아타임즈,권 이사장은 1999년 서강대 전자공학과를 졸업하고 2002년 스마일게이트를 창업했다. 지주회사인 스마일게이트홀딩스 대표이사·이사장을 거쳐 2017년에는 공익사업 재단인 희망스튜디오 이사장으로 취임했다. 2020년...,https://www.asiatime.co.kr/article/20230421500043
6,2023.04.15.,[스프] 중국이 이슬람 탄압하는데 사우디와 이란은 왜 침묵할까?,SBS언론사 선정,"SBS 경제자유살롱에서는 중동 전문가인 박현도 서강대 교수를 모시고, 중동의 대표적인 앙숙인 두 나라가 왜... (▶관련 영상) 서강대 박현도 교수는 그 필요성을 빈살만의 야심작 '네옴(Neom)'에서 찾았습니다. [ http://youtube....",https://news.sbs.co.kr/news/endPage.do?news_id=N1007154580&plink=ORI&cooper=NAVER
7,4일 전,"서강대학교, 개교 63주년 맞아 ‘개교 첫 교수회의 기념 뮤럴제막식’ 개최",베타뉴스,"▲2023.04.20-서강대학교, 개교 63주년 맞아 (개교 첫 교수회의 기념 뮤럴제막식) 개최 [사진]=서강대학교 뮤럴제막식 단체 사진. ©서강대학교 서강대학교(총장 심종혁)는 지난 18일, 개교 63주년을 맞아 서강대 본관...",http://www.betanews.net:8080/article/1407549.html
8,3일 전,"서강대, '개교 첫 교수회의 기념 뮤럴제막식' 진행",S-저널,"서강대학교 심종혁 총장은 ""서강을 단기간에 명문사학으로 만든 초기 교수님들의 열정과 헌신을 기리고 우리가 모두 함께 그들의 지혜와 뜻을 나눌 수 있는 뜻깊은 날""이라며, 제막식을 통해 ""서강의 근간이 된...",https://www.s-journal.co.kr/news/articleView.html?idxno=15514
9,6일 전,서강대학교 부동산학 석·박사과정 개설,파이낸셜뉴스,"모집 요강은 서강대학교 일반대학원 부동산학 석사과정, 박사과정, 석·박사 통합과정이며 일반전형 원서접수는 2023년 4월 26일(수)부터 5월 3일(수)까지다. 2차 전형은 2023년 5월 30일(화)부터 6월 7일(수)이며, 전형방법은...",http://www.fnnews.com/news/202304191651535852
10,4일 전,"서강대학교, 개교 63주년 맞아 ‘개교 첫 교수회의 기념 뮤럴제막식’ 개최",베타뉴스,"▲2023.04.20-서강대학교, 개교 63주년 맞아 (개교 첫 교수회의 기념 뮤럴제막식) 개최 [사진]=서강대학교 뮤럴제막식 단체 사진. ©서강대학교 서강대학교(총장 심종혁)는 지난 18일, 개교 63주년을 맞아 서강대 본관...",http://www.betanews.net:8080/article/1407549.html
11,3일 전,"서강대, '개교 첫 교수회의 기념 뮤럴제막식' 진행",S-저널,"서강대학교 심종혁 총장은 ""서강을 단기간에 명문사학으로 만든 초기 교수님들의 열정과 헌신을 기리고 우리가 모두 함께 그들의 지혜와 뜻을 나눌 수 있는 뜻깊은 날""이라며, 제막식을 통해 ""서강의 근간이 된...",https://www.s-journal.co.kr/news/articleView.html?idxno=15514
12,2023.04.03.,"서강대, 전북대와 교육콘텐츠 공동개발 협약 체결",뉴시스,기사내용 요약 메타버스 교육콘텐츠 및 상용화 서비스 위한 공동연구와 개발 협업 허서우 인턴 기자 = 서강대 메타버스전문대학원은 전북대 글로벌융합대학과 지난달 31일 메타버스 및 웹3.0 교육콘텐츠 개발 및 전문인력...,http://www.newsis.com/view/?id=NISX20230403_0002251041&cID=10201&pID=10200
13,2023.04.07.,고대·서강대·성대 등 수능최저 완화…합격 문턱↓,이데일리,일부 대학 교과전형 수능최저학력기준 변화(자료: 진학사) 7일 진학사에 따르면 현재 서울 소재 대학 중... 서강대도 전년도 ‘국·수·영·탐(1과목) 중 3개 영역 등급 합 6 이내’에서 올해 ‘국·수·영·탐(1과목) 중 3개...,http://www.edaily.co.kr/news/newspath.asp?newsid=02673206635573824
14,7일 전,"[선배에게 듣는 진학상담]<13>서강대 아트앤테크놀로지학과 ""융합적 크리에이...",전자신문,"저는 서강대 아트앤테크놀로지학과 최용순 교수라고 해요. 2012년 신설된 아트앤테크놀로지학과는 창의적인... 이것은 서강대 아트앤테크놀로지학과만의 독특한 문화죠. 졸업한 선배들은 게임광고, 영상 디자인, 모바일...",https://www.etnews.com/20230418000118
15,2023.04.03.,"서강대, 한화토탈에너지스와 산학협력 업무협약 체결",뉴시스,"이번 협약을 통해 양 기관은 ▲산학 공동연구/개발 프로그램 수행 및 정보 교류 ▲단기 교육 강좌 및 초청 세미나 개최 ▲서강대 학생들의 인턴십 및 현장실습, 취업 연계 지원 ▲산학연협력선도대학(LINC) 3.0 사업을 통한...",http://www.newsis.com/view/?id=NISX20230403_0002251019&cID=10201&pID=10200
16,2023.04.04.,"전북대-서강대, 메타버스·웹3.0 교육콘텐츠 개발 맞손",연합뉴스,전북대학교는 4일 서강대학교 메타버스전문대학원과 함께 메타버스 및 웹3.0 교육콘텐츠 개발 과 전문인력 양성을 위한 업무협약을 체결했다고 밝혔다. 두 기관은 이번 협약을 통해 ▲ 교육 프로그램 공동 개발 및 운영...,https://www.yna.co.kr/view/AKR20230404058200055?input=1195m
17,7일 전,"삼천리인베스트먼트, 심사역 확충하며 투자 확대 채비",아시아경제,"김 팀장은 서강대 경영학과를 졸업하고 IBM코리아, 네이버, LG생활건강, 현대제철 등에서 디스플레이 광고... 서강대 경영학과를 졸업한 그는 장기신용은행·한국씨티은행 등을 거쳐 SV인베스트먼트 대표를 지냈다. 이번에...",https://view.asiae.co.kr/article/2023041718270947718
